VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,Sex,SourceLink,Content
Administrator m/ž,https://www.mojedelo.com//administrator-mz/d-419722?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D15,02.01.2019,04:31,27.12.2018,Slorest d.o.o.,Ljubljana,m/ž,https://www.mojedelo.com//administrator-mz/d-419722?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D15,"Administrator m/ž     Slorest je največje podjetje v slovenski lasti na področju gostinstva. Naša poglavitna dejavnost je gostinstvo na delovnem mestu. Prehrana na delovnem mestu je namreč eden izmed osnovnih pogojev za zadovoljstvo in motiviranost delavcev, ter s tem za uspešno opravljanje dela, zato mora biti zmeraj premišljeno načrtovana in kakovostna, ter raznolika. Ljudje smo različni, zato se razlikujejo tudi naše želje in potrebe.Administrator m/žV našo kadrovsko ekipo vabimo motiviranega in proaktivnega novega sodelavca/-ko z veseljem do dela z informacijskimi sistemi ter z željo po pridobivanju znanja na področju kadrovskih procesov. K sodelovanju vabimo kandidate na začetku karierne poti, ki želijo pridobivati delovne izkušnje znotraj večjega dinamičnega sistema.  Vaše delo bo obsegalo administriranje kadrovskega informacijskega sistema, kar pomeni skrb za vnos in ažuriranje podatkov, vnašanje sprememb, spremljanje posodobitev sistema, komunikacijo z enotami ter podporo uporabnikom. Skrbeli boste za spremljanje in organizacijo obdobnih izobraževanj ter zdravniških pregledov, za kadrovsko dokumentacijo ter za pripravo kadrovske statistike.Delovni čas: dopoldanski delovni čas od ponedeljka do petka med 07:00 in 15:00.Pričakujemo 1 – 2 leti delovnih izkušenj (lahko preko študentskega servisa) ter odlično poznavanje programa Excel. Natančnost, organiziranost in občutek za odgovornost so zaradi narave dela ključne lastnosti, ki jih iščemo. Če ste poleg tega še pozitivno naravnani ter usmerjeni k iskanju rešitev, samoiniciativni in željni učenja, ste morda prav vi prava oseba za nas. Ponujamo vam delo v prijetnem kolektivu, strokovni in osebnostni razvoj ter možnost dolgoročnega sodelovanja. Če ste se prepoznali v oglasu, vas vabimo, da nam najkasneje do 26.1.2019 pošljete vašo prijavo z življenjepisom. Vse prijave bodo obravnavane diskretno. Veselimo se vašega zanimanja in priložnosti sodelovanja."
Administrator podatkovnih baz (m/ž),https://www.mojedelo.com//administrator-podatkovnih-baz-mz/d-419877?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D14,02.01.2019,04:31,27.12.2018,ADECCO H.R. d.o.o.,Koper,m/ž,https://www.mojedelo.com//administrator-podatkovnih-baz-mz/d-419877?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D14,"Adecco H.R., kadrovsko svetovanje d.o.o. je vodilna slovenska agencija za zaposlovanje in je tudi največje tovrstno podjetje na svetu. Iskalcem zaposlitve ponujamo tako začasna dela, kot redno zaposlitev. Smo fleksibilni in znamo prisluhniti individualnim željam in potrebam. Več o nas si preberite na www.adecco.si.    Iščemo kandidate za prosto delovno mesto: Administrator podatkovnih baz (m/ž)  Opis delovnega mesta: Ste natančni, komunikativni in vam leži delo z različnimi bazami podatkov? Imate izkušnje z administracijo in se hitro znajdete z različno ""papirologijo""? Odprto je zanimivo delovno mesto pri podjetju v Kopru za kandidate, ki tekoče govorite italijanski in pogovorno angleški jezik, ter ste pripravljeni na novo karierno priložnost! Delo na delovnem mestu obsega:- spremljanje sprememb pri različnih dokumentih,- arhiviranje podatkov in dokumentov skladno s spremembami,- ažuriranje in urejanje podatkovnih baz,- spremljanje komunikacije med strankami in dobavitelji (v italijanskem in angleškem jeziku).Kraj dela: Koper.   Pričakujemo: Pričakujemo:- zaključeno najmanj V. stopnjo izobrazbe,- odlično znanje italijanskega jezika (C1) in pogovorno znanje angleškega jezika,- natančnost ter samostojnost pri delu, - odzivnost in prilagodljivost,- pripravljenost na učenje novih pristopov do dela.   Nudimo: Kandidatom nudimo odlično zaposlitveno priložnost:- zaposlitev za nedoločen čas po 6. mesecih poskusnega dela,- urnik dela je med 8.00 in 16.30,- možnost dodatnega izobraževanja.V kolikor se prepoznate v opisu delovnih obveznosti, pričakujemo vaše prijave z življenjepisom preko povezave ""Prijavi se!"". Več informacij: 051 390 235 (Alenka). Vaše prijave pričakujemo do 7.1.2019.    Je to pravo delo za vas? Odlično! Vabimo vas, da svojo prijavo, skupaj z življenjepisom, posredujete preko povezave: Prijavi se zdaj."
Administrator voznega parka m/ž,https://www.mojedelo.com//administrator-voznega-parka-mz/d-414590?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D54,02.01.2019,04:35,11.12.2018,Easytrans d.o.o.,Žalec,m/ž,https://www.mojedelo.com//administrator-voznega-parka-mz/d-414590?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D54,"Samostojni računovodja    Želite postati del naše ekipe?V podjetju EASYTRANS D.O.O. Cesta ob železnici 4, 3310  Žalec izvajamo prevoz blaga v cestnem prometu. V naš delovni tim vabimoADMINISTRATOR VOZNEGA PARKA (m/ž) (Žalec)Vaše zadolžitve bodo obsegale: Administriranje baz podatkov in vodenje evidenc s področja logistike, Izdelava predpisanih evidenc in poročil ter poročanje nadzornim organom,Skrb za pravilno in učinkovito vodenje poslovne dokumentacije, Skrb za vozni park (registracija in zavarovanje, pregled tahografov, CEMT, ipd.),Samostojno sestavljanje, oblikovanje in pisanje dopisov, zapisnikov in vlog,Komunikacija z zavarovalnicami ter prijava škod ,Pridobivanje in analiza zavarovalniških ponudbDruga sorodna dela.Od vas pričakujemo:V. ali višjo stopnjo izobrazbe ekonomske ali druge smeriVsaj 2 leti delovnih izkušenj na področju sklepanja avtomobilskih zavarovanj Zaželeno je dovoljenje AZN za sklepanje zavarovanjPoznavanje dela z računalnikom (Word, Excel, Outlook, Google)Aktivno znanje angleškega ali nemškega jezikaVozniško dovoljenje B kategorijePrednost imajo kandidati iz Žalca, Celja in okolice.Iščemo sodelavca(-ko), ki/je:ima dobre organizacijske sposobnosti,je zanesljiv, natančen in redoljuben,ima pozitiven odnos do dela in reševanja težav,usmerjen k rezultatom,pripravljen nadgraditi svoje znanje in izkušnje,zna prevzemati odgovornost za svoje delo.Nudimo vam:zaposlitev s polnim delovnim časom za določen čas (za čas usposabljanja); v primeru uspešno opravljenega usposabljanja zaposlitev za nedoločen čas,urejeno delovno okolje,delo, ki nudi veliko mero svobode, odgovornosti in samoiniciativnosti.Prijavo pošljite na elektronski naslov: zaposlitev@easytrans.si alipo pošti EASYTRANS D.O.O. Cesta ob železnici 4, 3310  Žalecdo vključno 12.01.2019 s pripisom za katero delovno mesto se prijavljate: ADMINISTRATOR VOZNEGA PARKA."
Administrator za bilance m/ž,https://www.mojedelo.com//administrator-za-bilance-mz/d-412524?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D61,02.01.2019,04:35,06.12.2018,Axent d.o.o.,Koper,m/ž,https://www.mojedelo.com//administrator-za-bilance-mz/d-412524?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D61,"Smo ekipa zagnanih, strokovno podkovanih in vsestranskih oseb. Vsak od nas ima svoje želje in pričakovanja, ki pa se združijo v skupni cilj: Biti tu za vas!  Vodijo nas profesionalnost, srčnost, pozitivna energija in mišljenje, da skupaj zmoremo vse. V največje zadovoljstvo in ponos nam je, ko prisostvujemo poslovnim in osebnim uspehom. Takrat se namreč zavedamo, da smo na pravi poti in da delamo prav. Vedno sledimo najnovejšim smernicam in spoznanjem na področju človeških virov. Z vedno več znanja postajamo vse boljši.  To pomeni, da smo boljši tudi za vas.   Naš naročnik, uspešno podjetje iz področja bančništva in nepremičnin, išče administrativne profile, ki bi zasedli delovno mesto Administrator(ja) za bilance m/ž. Administrator za bilance m/ž Lokacija delovnega mesta: Koper  Opis delovnega mesta: - Preverjanje in razčlenjevanje postavk bilanc,- pridobivanje relevantnih podatkov od strank,- posodabljanje podatkovne baze,- ostale naloge po navodilu nadrejenega. Naročnik pričakuje: - V. stopnja izobrazbe (zaželena ekonomska smer),- brezhibna govorna in pisna Italijanščina,- osnovno znanje računovodstva (bilance),- osnovno poznavanje Excel-a,- računalniška spretnost,- natančnost in doslednost pri delu. Naročnik nudi: - Delo v urejenem kolektivu,- redno in stimulativno plačilo,- urnik 7-15 od ponedeljka do petka (urnik je fleksibilen),- pogodba za nedoločen čas.   Zainteresirane kandidatke in kandidate vabimo, da nam svoje prijave s priloženim življenjepisom pošljejo na elektronski naslov delo@axent.si."
Administrator za italijanski trg m/ž,https://www.mojedelo.com//administrator-za-italijanski-trg-mz/d-405396?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D29,02.01.2019,04:32,20.12.2018,HSG KARIERA,Koper,m/ž,https://www.mojedelo.com//administrator-za-italijanski-trg-mz/d-405396?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D29,"Administrator za italijanski trg m/ž Pridružite se podjetju s 135-letno tradicijo in postanite del dobro vkoreninjene strukture na finančnem trgu.Za več informacij pokličite na telefonsko številko 031 809 911 (Karmen Novak) ali pišite na mail karmen.novak@kariera.si    Opis delovnega mesta Vam jezik teče kot namazan poleg slovenskega tudi v italijanskem jeziku?Imate sposobnost hitrega preklapljanja iz teme na temo?Ste proaktivni in se v vas skriva ravno prava mera empatije in razumevanja?Če je vaš odgovor na vsa tri vprašanja pritrdilen, se prijavite na spodnji oglas in se pridružite podjetju s 135-letno tradicijo :)- podpora strankam,- kontrola in ažuriranje podatkov,- telefonsko pridobivanje podatkov,- prodaja višjega standarda storitev že obstoječim strankam.   Pričakujemo - Odlično znanje italijanskega jezika (tako ustno kot pisno),- logično in fleksibilno razmišljanje,- komunikativnost,- poznavanje osnov Microsoft Office,- pripravljenost na delo v dveh izmenah.   Nudimo - delo v podjetju z dolgoletno tradicijo,- dolgoročno sodelovanje,- možnost osebnega razvoja,- delo v dobrem kolektivu.     Če ustrezate vsem pogojem in bi vas tako delo zanimalo, vas  vabimo, da se prijavite preko portala. Za več informacij pokličite: 031 809 911 ali karmen.novak@kariera.si         Kariera d.o.o.      Dunajska cesta 165      1000 Ljubljana          e: info@kariera.si      t: (01) 300 31 00      www.kariera.si     Novi trg 10      8000 Novo mesto      e: novo.mesto@kariera.si      t: (07) 302 03 00         Ulica Vita Kraigherja 5      2000 Maribor      e: maribor@kariera.si      t: (02) 237 20 20   Vse naše objave: www.kariera.si/prosta-delovna-mesta/ Ali na facebook profilu: www.facebook.com/kariera/"
Administrator za nemški trg m/ž,https://www.mojedelo.com//administrator-za-nemski-trg-mz/d-419032?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D20,02.01.2019,04:31,21.12.2018,HSG KARIERA,Maribor,m/ž,https://www.mojedelo.com//administrator-za-nemski-trg-mz/d-419032?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D20,"Administrator za nemški trg m/ž Za našega naročnika, uspešno in stabilno mednarodno podjetje, iščemo kandidate z dobrim znanjem nemškega jezika, za zaposlitev na delovnemu mestu Administrator za nemški trg m/ž.    Opis delovnega mesta - splošno in celovito preverjanje podjetij v programu (splošni in finančni podatki),- kontrola in ažuriranje podatkov,- pridobivanje dokumentov preko različnih javnih portalov,- priprava poročil in analiz iz pridobljenih podatkov,- komunikacija s sodelavci in nadrejenimi.   Pričakujemo - dobro znanje nemškega jezika,- poznavanje računalniških programov MS Office,- veselje do administrativnega dela s številkami,- dobre komunikacijske sposobnosti,- odgovornost in zanesljivost.   Nudimo - ustreznim kandidatom bomo ponudili sodelovanje za nedoločen čas,- enoizmenski delovni čas, z možnostjo prilagajanja,- možnost napredovanja in dodatnega izobraževanja,- delo v uspešnem mednarodnem podjetju, kjer le-to ne posega v zasebno življenje.     Če ustrezate vsem pogojem in bi vas tako delo zanimalo, vas  vabimo, da se prijavite preko portala. Za več informacij pokličite: 051 378 928         Kariera d.o.o.      Dunajska cesta 165      1000 Ljubljana          e: info@kariera.si      t: (01) 300 31 00      www.kariera.si     Novi trg 10      8000 Novo mesto      e: novo.mesto@kariera.si      t: (07) 302 03 00         Ulica Vita Kraigherja 5      2000 Maribor      e: maribor@kariera.si      t: (02) 237 20 20   Vse naše objave: www.kariera.si/prosta-delovna-mesta/ Ali na facebook profilu: www.facebook.com/kariera/"
Administrator za nemški trg m/ž,https://www.mojedelo.com//administrator-za-nemski-trg-mz/d-420244?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D8,02.01.2019,04:30,28.12.2018,HSG KARIERA,Maribor,m/ž,https://www.mojedelo.com//administrator-za-nemski-trg-mz/d-420244?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D8,"Administrator za nemški trg m/ž Za našega naročnika, uspešno in stabilno mednarodno podjetje, iščemo kandidate z dobrim znanjem nemškega jezika, za zaposlitev na delovnemu mestu Administrator za nemški trg m/ž.    Opis delovnega mesta - splošno in celovito preverjanje podjetij v programu (splošni in finančni podatki),- kontrola in ažuriranje podatkov,- pridobivanje dokumentov preko različnih javnih portalov,- priprava poročil in analiz iz pridobljenih podatkov,- komunikacija s sodelavci in nadrejenimi.   Pričakujemo - dobro znanje nemškega jezika,- poznavanje računalniških programov MS Office,- veselje do administrativnega dela s številkami,- dobre komunikacijske sposobnosti,- odgovornost in zanesljivost.   Nudimo - ustreznim kandidatom bomo ponudili sodelovanje za nedoločen čas,- enoizmenski delovni čas, z možnostjo prilagajanja,- možnost napredovanja in dodatnega izobraževanja,- delo v uspešnem mednarodnem podjetju, kjer le-to ne posega v zasebno življenje.     Če ustrezate vsem pogojem in bi vas tako delo zanimalo, vas  vabimo, da se prijavite preko portala. Za več informacij pokličite: 051 378 928         Kariera d.o.o.      Dunajska cesta 165      1000 Ljubljana          e: info@kariera.si      t: (01) 300 31 00      www.kariera.si     Novi trg 10      8000 Novo mesto      e: novo.mesto@kariera.si      t: (07) 302 03 00         Ulica Vita Kraigherja 5      2000 Maribor      e: maribor@kariera.si      t: (02) 237 20 20   Vse naše objave: www.kariera.si/prosta-delovna-mesta/ Ali na facebook profilu: www.facebook.com/kariera/"
Agent v klicnem centru- prodaja (2 delovni mesti),https://www.mojedelo.com//agent-v-klicnem-centru-prodaja-2-delovni-mesti/d-420383?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D8,02.01.2019,04:30,29.12.2018,DIGITAL MEDIAORBIS d.o.o.,Ljubljana,m/ž,https://www.mojedelo.com//agent-v-klicnem-centru-prodaja-2-delovni-mesti/d-420383?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D8,"Prodajalec (2 delovni mesti)     Agent v klicnem centru- prodaja (2 delovni mesti)Digital Mediaorbis d.o.o. smo sodobno, izkušeno podjetje na področju tržne dejavnosti. V svoj tim vabimo nove sodelavce, ki bi nam, s svojo komunikativnostjo, pogajalskimi veščinami in predanim delom, pomagali predstaviti naše produkte, zasnovane tako, da omogočajo najbolj optimalno in učinkovito oglaševanje. Osredotočeni smo na timsko delo, sodelovanje ter maksimalno zadovoljstvo naših strank, kot tudi svojih zaposlenih. Če mislite, da ste vešči dobre prodajalske taktike, znate in radi komunicirate, ste pozitivni, timsko naravnani in ambiciozni, ter če se ne zadovoljite z nizko plačo, pač pa si želite službo, ki vas za dobro delo nagradi vam lahko ponudimo odlično priložnost. Kaj pričakujemo?Bolj kot izkušnje, nam je pomembno, da znate učinkovito sodelovati s svojo ekipo, da ste pri delu pozitivno naravnani, ter da znate za doseganje svojih ciljev uporabljati svoje komunikacijske sposobnosti, pogajalske spretnosti in prodajne veščine ter ostala znanja. Poleg tega v novem sodelavcu iščemo tudi osebo, ki jo odlikuje: VztrajnostOdgovornostDelavnostOrganiziranostSamostojnostCiljna usmerjenostSamoiniciativnostPripadnost deluKaj vam lahko ponudimo:Delo v perspektivnem delovnem okolju.Redno in pošteno plačiloZaposlitev za nedoločen čas, poskusno delo 1 mesecDelo poteka na sedežu podjetja od ponedeljka do petka med 8. in 16. uro (v delovni čas pa je vključen tudi plačan enourni odmor in organizirano kosilo).Če vas zanima sodelovanje z nami in menite, da ste pravi za nas, se na delovno mesto prijavite po elektronski pošti zaposlitev@mediaorbis.si. Nujno vključite svoj življenjepis in kontaktni telefon, da vas lahko v najkrajšem možnem času povabimo na razgovor."
Agent v kontaktnem centru (m/ž),https://www.mojedelo.com//agent-v-kontaktnem-centru-mz/d-417381?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D35,02.01.2019,04:33,18.12.2018,Sberbank banka d.d. ,Ljubljana,m/ž,https://www.mojedelo.com//agent-v-kontaktnem-centru-mz/d-417381?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D35,Informatik specialist
Analitik izterjave (m/ž),https://www.mojedelo.com//analitik-izterjave-mz/d-418442?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D24,02.01.2019,04:32,20.12.2018,Addiko Bank d.d.,Ljubljana,m/ž,https://www.mojedelo.com//analitik-izterjave-mz/d-418442?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D24,"Pravni svetovalec          Z namenom nadomeščanja odsotnosti sodelavke iščemo novega sodelavca ali sodelavko v oddelku Izterjave:ANALITIK IZTERJAVE (m/ž)Kraj zaposlitve: Ljubljana Addiko Bank, d.d., je banka, ki nudi finančne produkte in storitve občanom in podjetjem na nov in enostaven način. Težimo k novim vrednotam: osredotočamo se na pomembno, smo učinkoviti in komuniciramo preprosto.Vaše naloge bodo obsegale:izdelavo raznih poročil za  oddelke znotraj področja Upravljanja tveganj z občani sodelovanje z drugimi oddelki in matično družbo pri pripravi končnih poročil, opravljanje drugih del po nalogu nadrejenega in v skladu z notranjimi predpisi.Od vas pričakujemo:poznavanje SQL-anapredno poznavanje programskih orodij MS Office (predvsem Excel ter Access), aktivno znanje angleščine,samoiniciativnost, komunikativnost, natančnost ter sposobnost organizacije deladobro razvite analitične sposobnosti.Kaj ponujamo:zaposlitev za določen čas enega leta, z možnostjo podaljšanja,dinamično delovno okolje,stalno izmenjavo izkušenj in znanj,možnost strokovnega in osebnostnega razvoja.Vam je bil oglas všeč? Mislite, da ste primerni za opisano delovno mesto? Če je odgovor pritrdilen, se prijavite na oglas preko povezave: https://addiko-bank-slo.talentlyft.com/jobs/analitik-izterjave-dqP"
