VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,Sex,SourceLink,Content
Sestavljalec aluminijastih ogrodij (m/ž),https://www.mojedelo.com/sestavljalec-aluminijastih-ogrodij-mz/d-481278?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,04.12.2019,02:32,04.12.2019,KMETEX d.o.o.,Cerkvenjak,m/ž,https://www.mojedelo.com/sestavljalec-aluminijastih-ogrodij-mz/d-481278?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,"CNC operater (m/ž)    Podjetje KMETEX, d.o.o. je družba usmerjena v razvoj in proizvodnjo inovativnih rešitev na področju avtomatizacije proizvodnih procesov. Ključne rešitve ponujajo v okviru robotskega varjenja, CNC rezanja in manipulacije. V svojem poslovnem okolju operirajo z lastnim razvojem in proizvodnjo. S tem pa pokrivajo celoten proces od načrtovanja do izgradnje, ter končne predaje rešitev k stranki. Tako širok kot je spekter njihovih rešitev, tako številna in različna so področja na katerih delajo.V naš mlad tim k sodelovanju vabimo novega sodelavca za delovno mesto:Sestavljalec aluminijastih ogrodij  m/žNaloge in odgovornosti:Razrez cevi,sestava ogrodja po načrtu,osnovno varjenje.Kaj pričakujemo:strojne ali druge tehnične smeri,zaželene delovne izkušnje,strokovna in splošna znanja,pripravljenost na usposabljanje in izobraževanje,natančnost, strokovnost, komunikativnost,osnovno znanje nemškega ali angleškega jezika.Kaj nudimo:zaposlitev v uspešnem mladem podjetju,napredovanje,možnosti za osebni in strokovni razvoj,delo v mladem in kreativnem kolektivu,stimulativno redno plačilo za opravljeno delo,delovno razmerje za določen čas z možnostjo podaljšanja pogodbe za nedoločen čas.kreativno, dinamično delo, izobraževanja, team building.Prosto delovno mesto je v Cerkvenjaku.Prijave pošljite preko portala MojeDelo.com ali na mail zaposlitev@kmetex.com"
Operater na žagi za razrez ALU profilov (m/ž),https://www.mojedelo.com/operater-na-zagi-za-razrez-alu-profilov-mz/d-481251?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,04.12.2019,02:32,04.12.2019,KMETEX d.o.o.,Cerkvenjak,m/ž,https://www.mojedelo.com/operater-na-zagi-za-razrez-alu-profilov-mz/d-481251?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,"CNC operater (m/ž)    Podjetje KMETEX, d.o.o. je družba usmerjena v razvoj in proizvodnjo inovativnih rešitev na področju avtomatizacije proizvodnih procesov. Ključne rešitve ponujajo v okviru robotskega varjenja, CNC rezanja in manipulacije. V svojem poslovnem okolju operirajo z lastnim razvojem in proizvodnjo. S tem pa pokrivajo celoten proces od načrtovanja do izgradnje, ter končne predaje rešitev k stranki. Tako širok kot je spekter njihovih rešitev, tako številna in različna so področja na katerih delajo.V naš mlad tim k sodelovanju vabimo novega sodelavca za delovno mesto:Operater na žagi za razrez ALU profilov m/žNaloge in odgovornosti:razrez cevi,sestava ogrodja po načrtu,osnovno varjenje.Kaj pričakujemo:najmanj IV. stopnja izobrazbe strojne ali druge tehnične smeri,zaželene delovne izkušnje,strokovna in splošna znanja,pripravljenost na usposabljanje in izobraževanje,natančnost, strokovnost, komunikativnost,osnovno znanje nemškega ali angleškega jezika.Kaj nudimo:zaposlitev v uspešnem mladem podjetju,napredovanje,možnosti za osebni in strokovni razvoj,delo v mladem in kreativnem kolektivu,stimulativno redno plačilo za opravljeno delo,delovno razmerje za določen čas z možnostjo podaljšanja pogodbe za nedoločen čas.kreativno, dinamično delo, izobraževanja, team building.Prosto delovno mesto je v Cerkvenjaku.Prijave pošljite preko portala MojeDelo.com ali na mail zaposlitev@kmetex.com"
"Varilec TIG (razrez, sestava in varjenje aluminijastih ogrodij)",https://www.mojedelo.com/varilec-tig-razrez-sestava-in-varjenje-aluminijastih-ogrodij/d-481246?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,04.12.2019,02:32,04.12.2019,KMETEX d.o.o.,Cerkvenjak,m/ž,https://www.mojedelo.com/varilec-tig-razrez-sestava-in-varjenje-aluminijastih-ogrodij/d-481246?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,"Varilec (m/ž)    Podjetje KMETEX, d.o.o. je družba usmerjena v razvoj in proizvodnjo inovativnih rešitev na področju avtomatizacije proizvodnih procesov. Ključne rešitve ponujajo v okviru robotskega varjenja, CNC rezanja in manipulacije. V svojem poslovnem okolju operirajo z lastnim razvojem in proizvodnjo. S tem pa pokrivajo celoten proces od načrtovanja do izgradnje, ter končne predaje rešitev k stranki. Tako širok kot je spekter njihovih rešitev, tako številna in različna so področja na katerih delajo.V naš mlad tim k sodelovanju vabimo novega sodelavca za delovno mesto:Varilec TIG (razrez, sestava in varjenje aluminijastih ogrodij)Naloge in odgovornosti:samostojno ali skupinsko izvajanje varilskih del po TIG postopku varjenja aluminija,uporaba ročnih orodij,upoštevanje predpisov in navodil za varno delo in požarno varnost.Kaj pričakujemo:zaželene delovne izkušanje z varjenjem aluminija,strokovna in splošna znanja,pripravljenost na usposabljanje in izobraževanje,natančnost, strokovnost, komunikativnost,osnovno znanje nemškega ali angleškega jezika.Kaj nudimo:zaposlitev v uspešnem mladem podjetju,napredovanje,možnosti za osebni in strokovni razvoj,delo v mladem in kreativnem kolektivu,stimulativno redno plačilo za opravljeno delo,delovno razmerje za določen čas z možnostjo podaljšanja pogodbe za nedoločen čas,kreativno, dinamično delo, izobraževanja, team building.Prosto delovno mesto je v Cerkvenjaku.Prijave pošljite preko portala MojeDelo.com ali na mail zaposlitev@kmetex.com"
"Varilec MIG (razrez, sestava in varjenje aluminijastih ogrodij)",https://www.mojedelo.com/varilec-mig-razrez-sestava-in-varjenje-aluminijastih-ogrodij/d-481244?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,04.12.2019,02:32,04.12.2019,KMETEX d.o.o.,Cerkvenjak,m/ž,https://www.mojedelo.com/varilec-mig-razrez-sestava-in-varjenje-aluminijastih-ogrodij/d-481244?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,"Varilec (m/ž)    Podjetje KMETEX, d.o.o. je družba usmerjena v razvoj in proizvodnjo inovativnih rešitev na področju avtomatizacije proizvodnih procesov. Ključne rešitve ponujajo v okviru robotskega varjenja, CNC rezanja in manipulacije. V svojem poslovnem okolju operirajo z lastnim razvojem in proizvodnjo. S tem pa pokrivajo celoten proces od načrtovanja do izgradnje, ter končne predaje rešitev k stranki. Tako širok kot je spekter njihovih rešitev, tako številna in različna so področja na katerih delajo.V naš mlad tim k sodelovanju vabimo novega sodelavca za delovno mesto:Varilec MIG (razrez, sestava in varjenje aluminijastih ogrodij)Naloge in odgovornosti:samostojno ali skupinsko izvajanje varilskih del po MIG postopku varjenja aluminija,uporaba ročnih orodij,upoštevanje predpisov in navodil za varno delo in požarno varnost.Kaj pričakujemo:zaželene delovne izkušanje z varjenjem aluminija,strokovna in splošna znanja,pripravljenost na usposabljanje in izobraževanje,natančnost, strokovnost, komunikativnost,osnovno znanje nemškega ali angleškega jezika.Kaj nudimo:zaposlitev v uspešnem mladem podjetju,napredovanje,možnosti za osebni in strokovni razvoj,delo v mladem in kreativnem kolektivu,stimulativno redno plačilo za opravljeno delo,delovno razmerje za določen čas z možnostjo podaljšanja pogodbe za nedoločen čas,kreativno, dinamično delo, izobraževanja, team building.Prosto delovno mesto je v Cerkvenjaku.Prijave pošljite preko portala MojeDelo.com ali na mail zaposlitev@kmetex.com"
Vzdrževalec m/ž,https://www.mojedelo.com/vzdrzevalec-mz/d-481091?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,04.12.2019,02:32,04.12.2019,ATLANTIC GRUPA-Droga Kolinska d.d.,Izola,m/ž,https://www.mojedelo.com/vzdrzevalec-mz/d-481091?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,Skladiščnik
Prodajalec novih in rabljenih vozil m/ž,https://www.mojedelo.com/prodajalec-novih-in-rabljenih-vozil-mz/d-480763?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,04.12.2019,02:32,04.12.2019,Avto Debevc d.o.o.,Trzin,m/ž,https://www.mojedelo.com/prodajalec-novih-in-rabljenih-vozil-mz/d-480763?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,"Prodajalec rabljenih vozil m/ž     Avto Debevc d.o.o.  * Pooblaščeni serviser Volkswagen * Prodaja novih vozil * Hitri servis za vozila vseh znamk * Prodaja rabljenih vozil * Škodni center - cenitev škode za vse zavarovalnice in kleparsko ličarska popravila * Vulkanizerske storitve, avtopralnicaVeč o nas na: www.avtodebevc.si/V svoj kolektiv sprejmemo novega sodelavca na delovno mesto:Prodajalec novih in rabljenih vozil m/žOpis delovnega mesta:Prodaja in odkup novih in rabljenih vozil, cenitev vozil, svetovanje strankam in ostala dela v sklopu prodaje vozil.Kaj pričakujemo?Naše sodelavce odlikuje osebni pristop,  prijaznost, skrb in fleksibilnost. Imamo korekten odnos do strank, ki so naša vrednota ter na njih temelji filozofija našega podjetja, s katero dosegamo zastavljene cilje.Od kandidata poleg zgoraj naštetih vrednot pričakujemo tudi samoiniciativno izvajanje nalog na področju prodaje in odkupa vozil, sposobnost za timsko delo, komunikativnost ter vozniško dovoljenje B kategorije.Kaj nudimo?Za okrepitev tima v novem centru rabljenih vozil s čimprejšnjim nastopom dela iščemo prodajalca rabljenih in novih vozil. Zaposlitev z izbranim kandidatom bomo sklenili za določen čas enega leta, s poskusno dobo 3. mesecev, z željo po dolgoročni zaposlitvi za nedoločen čas. Kandidati, ki se nam želijo pridružiti, naj svojo prijavo pošljejo preko e-sistema MojeDelo.com.Rok za prijave na prosto delovno mesto je do 15.12.2019."
Oblikovalec kovin - varilec,https://www.mojedelo.com/oblikovalec-kovin-varilec/d-476486?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,04.12.2019,02:32,04.12.2019,Bevec d.o.o.,Novo mesto,m/ž,https://www.mojedelo.com/oblikovalec-kovin-varilec/d-476486?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,"Konstrukter z izkušnjami    bevec Oblikovalec kovin - varilec (delo v Novem mestu)Podjetje BEVEC d.o.o. je začelo poslovati leta 1999. Že takrat smo  pri izvedbi inštalacij uporabljali opremo, ki smo jo proizvajali v lastni elektro-kovinski obrtniški delavnici. Tako smo začeli z razvojem in izdelavo razdelilnih omar že v osemdesetih letih, v začetku 90 let prejšnjega stoletja pa smo pričeli tudi s proizvodnjo kabelskih polic in opreme.www.bevec.siVaše naloge bodo: sestavljanje komponent in varjenje tankih pločevin do 5 mm po MIG / MAG in TIG postopkubranje delavniške dokumentacije in upoštevanje navodil za deloskrbno ravnanje z merilnimi sredstvi in orodjiizvajanje samokontrole opravljenega delaiskanje racionalnih rešitev in predlogov izboljšavostala dela po navodilih nadrejenegaPričakujemo: znanje s področja varjenja pa MIG/MAG in TIG postopkuzaželen je opravljen izpit za varilca – ni pa pogojpoznavanje delavniške dokumentacijerokovanje s kovinskimi materializanesljivost, skrbnost in natančnostsposobnost dela v skupinidelo enoizmenskoKaj nudimo:delo v prijetnem delovnem okoljudobro in redno plačilozaposlitev za nedoločen časDelovno razmerje se sklene za nedoločen čas oziroma minimalno tri leta, z upoštevanjem poskusne dobe.Kandidate, ki vas delovno mesto zanima in ustrezate razpisnim pogojem, vabimo, da nam svojo predstavitev (CV, s sliko in kontaktnimi podatki) pošljete po e-pošti na mail:igor@bevec.si(oziroma prek e-sistema MojeDelo.com).Dodatne informacije: 041 643 196."
Telefonski marketing (m/ž),https://www.mojedelo.com/telefonski-marketing-mz/d-471401?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,04.12.2019,02:32,04.12.2019,Ekodan d.o.o.,Ljubljana,m/ž,https://www.mojedelo.com/telefonski-marketing-mz/d-471401?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,"Telefonski marketing (m/ž)      EKO DAN d.o.o. je mlado in hitro rastoče podjetje ustanovljeno leta 2016 z namenom, da ustvari vrhunski prodajni tim in strankam ponudi najboljše rešitve in produkte. Ekskluzivno zastopamo tako domača kot tuja podjetja.Več na: www.eko-dan.comTelefonski marketing (m/ž)Ste naveličani menjati čas za denar?Si želite dinamičnega dela v prijetnem kolektivu?Ste željni novega znanja?Si želite maksimalno izkoristiti svoj potencial?Če ste vsaj na eno vprašanje odgovorili z da potem je čas za spremembe. Smo ambiciozna ekipa, ki uspešno gradi svoje ime v sodelovanju tako z domačimi kot tujimi podjetji. Na področju telefonskega marketinga sodelujemo z enim izmed največjih ponudnikov telekomunikacijskih storitev in zaradi povečanega obsega dela iščemo 5 novih sodelavcev.Opis delovnega mesta:Promocija in trženje izdelkaPridobivanje novih strankKontaktiranje že obstoječih naročnikovPričakujemo:KomunikativnostAmbicioznostPozitivna naravnanostVeselje do dela z ljudmiOdgovornost do delaResnostKaj nudimo:Redno fiksno plačilo z dodatno stimulacijo na uspehPrijetno in pozitivno delovno okoljeMožnost napredovanjaOblika zaposlitve po dogovoruEnoizmensko delo od ponedeljka do petkaIzobraževanje na področju prodajePisne prijave z kratkim življenjepisom pošljite na naslov:EKO DAN d.o.o.Litijska cesta 351000 LjubljanaPrijava na razpisali na email naslov: info@eko-dan.comZadeva: prijava na razpis"
Vodja lakirnice (m/ž),https://www.mojedelo.com/vodja-lakirnice-mz/d-481808?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,04.12.2019,02:32,03.12.2019,WORKFORCE d.o.o. ,Okolica Nove Gorice,m/ž,https://www.mojedelo.com/vodja-lakirnice-mz/d-481808?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,"Smo regionalno podjetje za upravljanje človeških virov, ki deluje v državah regije Adria – v Sloveniji, Srbiji, Bosni in Hercegovini, Hrvaški, Črni gori, Makedoniji in Albaniji. Imamo več kot dvajset let izkušenj. Dnevno poslujemo z več kot 1.000 strankami in 12.000 poslovnimi partnerji.   Nudimo storitve po meri za zaposlovalce in iskalce zaposlitve. Poiščemo enega ali več sodelavcev. Izvajamo prilagojeno ali trajno zaposlovanje, upravljamo s človeškimi viri, nudimo pravno podporo, podporo pri obračunu plač in zagotavljanju skladnosti poslovanja.  Iskalcem zaposlitve pomagamo načrtovati poklicno pot in poiskati najbolj ustrezno zaposlitev.  Naš cilj je pomagati pri rasti poslovanja in poklicni rasti.     Za našega naročnika, svetovno znano podjetje s 30 letno tradicijo na področju elektro industrije, prejemnika Primorsko-notranjske gazele 2018, iščemo pozitivno naravnano in ambiciozno osebo za zasedbo delovnega mesta Vodja lakirnice (m/ž). Vodja lakirnice (m/ž) Vaše delo bo obsegalo: - Vodenje manjšega tima- Razna dela v lakirnici Pričakujemo: - Zaključena najmanj V. stopnja izobrazbe tehnične smeri- Nagnjenost k reševanju izzivov- Pozitivna naravnanost- Sposobnost reševanja konfliktov- Karizmatičnost Nudimo vam: - Zaposlitev v urejenem delovnem okolju- Zaposlitev za določen čas z možnostjo podaljšanja za nedoločen čas- Stimulativno plačilo- Enoizmensko deloVse kandidate in kandidatke, ki ste v zgornjem opisu zaznali novo karierno priložnost, vabimo, da se prijavite s klikom na gumb Prijava na delo ali nam pišete na neja.lango@workforce.si. Prijave bomo obravnavali zaupno."
Sodelavec/ka v digitalnem marketingu,https://www.mojedelo.com/sodelavecka-v-digitalnem-marketingu/d-481800?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,04.12.2019,02:32,03.12.2019,HOFER trgovina d.o.o.,Lukovica,m/ž,https://www.mojedelo.com/sodelavecka-v-digitalnem-marketingu/d-481800?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije,"Tehnični asistent vodje investicij     HOFER ni le trgovina, HOFER smo ljudje. Kot fer delodajalec svojim sodelavcem nudimo zanesljivo delovno okolje, ki omogoča karierno rast.Smo eno izmed vodilnih podjetij na področju maloprodaje s široko mrežo poslovalnic po Sloveniji. Poslovno skupino mednarodnega podjetja HOFER  tvorijo podjetja v Sloveniji, Avstriji, južni Nemčiji, Švici, Veliki Britaniji, na Irskem, Madžarskem, v Italiji, Združenih državah Amerike, v Avstraliji in na Kitajskem.Če si želite postati del mednarodne verige z dolgo tradicijo in uveljavljeno blagovno znamko, v kateri skupaj ustvarjamo prihodnost trgovinske panoge, vas vabimo, da se pridružite naši ekipi.Za sodelovanje pri doseganju ciljev in strategije podjetja HOFER, iščemo sodelavca/ko za delovno mesto:Sodelavec/ka v digitalnem marketinguDelovne nalogepomoč pri načrtovanju, organizacija, koordinacija in vodenje digitalnih projektov,koordinacija interne in eksterne ekipe, ki dela na določenem projektu,pomoč pri vzpostavitvi in izvajanje digitalne strategije,sledenje dogovorjeni viziji, strategiji, ciljem,priprava obračunov, poročil in prezentacij,vodenje projektne dokumentacije,optimizacija lastnih delovnih procesov,administrativne naloge,ostala dela po navodilu vodje.Pričakujemozaključena najmanj VI. stopnja izobrazbe,dobro prenašanje delovnih obremenitev,razumevanje digitalne krajine, tehnološka radovednost in internetna pismenost,odgovornost za pravilno in pravočasno izvedbo projektov,samostojnost pri delu in sposobnost timskega sodelovanja,natančnost, zanesljivost, fleksibilnost, samoiniciativnost,osnovno razumevanje platform  Google Ads & Facebook Ads in visoka motiviranost po poglabljanju znanja le-teh,osnovno poznavanje in razumevanje Google Analytics (poznavanje Social Bakers je prednost),osnovno  znanje na področju digitalnega trženja (Programmatic, Display, Social, Search...),izkušnje z izdelavo in pripravo vsebine za družbena omrežja - Facebook, Instagram, Youtube,izkušnje s planiranjem, koordiniranjem in upravljanjem objav/oglasov na družbenih omrežjih,izkušnje z upravljanjem newsletter kampanj in SEO so prednost,dobro poznavanje dela z osebnim računalnikom (MS Office, Windows),najmanj 1 leto izkušenj na področju digitalnega marketinga,tekoče znanje angleškega jezika (znanje nemškega jezika je prednost),lasten prevoz,nekaznovanost.Nudimodinamično delo, ki prinaša veliko novih znanj in izzivov,uvajanje, izobraževanje in usposabljanje v okviru HOFER AKADEMIJE,prijetno delovno in mednarodno okolje,družini prijazno podjetje,dodatne HOFER ugodnosti,delovno razmerje za nedoločen čas, s poskusno dobo 6 mesecev.Kraj opravljanja dela1225 Lukovica, Kranjska cesta 1Rok prijave15.12.2019 Prijava preko spletaZa prijavo uporabite naš spletni portal in priložite svoj življenjepis, vključno z motivacijskim pismom in vsemi pripadajočimi potrdili. Zagotavljamo vam zaupno obravnavo prijav.Prijava preko spletaHOFER smo ljudje -skupne vrednote"
