VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,Sex,SourceLink,Content
"1x prodajalka v PE Maribor z okolico, krajši delovni čas 30 ur tedensko",https://www.mojedelo.com//1x-prodajalka-v-pe-maribor-z-okolico-krajsi-delovni-cas-30-ur-tedensko/d-409410?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D73,26.12.2018,04:37,29.11.2018,NKD d.o.o.,Maribor z okolico,m/ž,https://www.mojedelo.com//1x-prodajalka-v-pe-maribor-z-okolico-krajsi-delovni-cas-30-ur-tedensko/d-409410?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D73,"1x prodajalka v PE Maribor z okolico, krajši delovni čas 30 ur tedensko  Opis del in nalog:  - skrb za  stranke, pomoč  pri nakupu blaga oz. svetovanje- polnjenje  prodajnih polic in stojal,- prevzem blaga  in- skrb za urejenost poslovalnice.  Pogoji, ki jih morajo izpolnjevati prijavitelji na razpis:   - stopnja izobrazbe: IV. ali  V.- smer: trgovska, komercialna ali ekonomska- zahtevana dodatna znanja: osnovna računalniška znanja- delovne izkušnje: 0 let  Nudimo:  Delo za  krajši delovni čas 30 ur /tedensko, pogodba se sklepa za obdobje najmanj 3 mesecev.           Vaše prijave pričakujemo preko portala MojeDelo.com.  Drugih prijav ne bomo upoštevali."
Addetto/a reparti produzione/ Referent v proizvodnji (Trst),https://www.mojedelo.com//addettoa-reparti-produzione-referent-v-proizvodnji-trst/d-396504?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D6,26.12.2018,04:30,15.12.2018,DIACO BIOFARMACEUTICI SRL,Trst,m/ž,https://www.mojedelo.com//addettoa-reparti-produzione-referent-v-proizvodnji-trst/d-396504?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D6,"Addetto/a reparti produzione/ Referent v proizvodnji          OPERAI PER PRODUZIONE FARMACEUTICADiaco Biofarmaceutici srl e azienda farmaceutica produttrice di soluzioni infusionali, dispositivi medici e prodotti cosmetici, ha sede a Trieste in uno stabilimento produttivo attivo nel settore dagli anni '70 ed opera in contesto internazionale. L'azienda ha avviato un importante piano industriale di sviluppo che prevede l'inserimento di nuove figure professionali.In particolare, stiamo cercando del personale da inserire nella posizione di OPERAI PER LA PRODUZIONE in grado di ricoprire il ruolo in maniera autonoma e proattiva.Mansione:le risorse svolgeranno le varie attivita specifiche ed ausiliarie previste dalla produzione dei farmaci o dei cosmetici.Compiti:attivita a bordo macchina su linee di riempitura e/o confezionamento;registrazione delle attivita svolte su apposita documentazione di produzione;controllo visivo della qualita dei prodotti e confezionamento manuale;mantenimento dell’ordine e dell’efficienza dei macchinari di reparto e dei locali.Requisiti:ottima padronanza della lingua italiana;preferibile scuola tecnica; esperienza in aziende di produzione in ruoli similari, preferibilmente del settore farmaceutico o liquidi alimentari;disponibilita a lavorare su turni;attenzione al dettaglio, flessibilita, manualita e capacita di lavorare in team.Offriamo:ambiente di lavoro giovane e dinamico;contratto chimico-farmaceutico come da normativa italiana;divisa e strumenti di lavoro;formazione continua.Dove siamo: Diaco Biofarmaceutici si trova in via Flavia a Trieste, a 5 km dal confine di Rabuiese.Gli interessati possono candidarsi inviando il Curriculum Vitae via mail a hr@diaco.it  indicando nell’oggetto PROD/SLO.La ricerca e rivolta a candidati di entrambi i sessi.www.diaco.it"
Administrator voznega parka m/ž,https://www.mojedelo.com//administrator-voznega-parka-mz/d-414590?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D48,26.12.2018,04:34,11.12.2018,Easytrans d.o.o.,Žalec,m/ž,https://www.mojedelo.com//administrator-voznega-parka-mz/d-414590?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D48,"Samostojni računovodja    Želite postati del naše ekipe?V podjetju EASYTRANS D.O.O. Cesta ob železnici 4, 3310  Žalec izvajamo prevoz blaga v cestnem prometu. V naš delovni tim vabimoADMINISTRATOR VOZNEGA PARKA (m/ž) (Žalec)Vaše zadolžitve bodo obsegale: Administriranje baz podatkov in vodenje evidenc s področja logistike, Izdelava predpisanih evidenc in poročil ter poročanje nadzornim organom,Skrb za pravilno in učinkovito vodenje poslovne dokumentacije, Skrb za vozni park (registracija in zavarovanje, pregled tahografov, CEMT, ipd.),Samostojno sestavljanje, oblikovanje in pisanje dopisov, zapisnikov in vlog,Komunikacija z zavarovalnicami ter prijava škod ,Pridobivanje in analiza zavarovalniških ponudbDruga sorodna dela.Od vas pričakujemo:V. ali višjo stopnjo izobrazbe ekonomske ali druge smeriVsaj 2 leti delovnih izkušenj na področju sklepanja avtomobilskih zavarovanj Zaželeno je dovoljenje AZN za sklepanje zavarovanjPoznavanje dela z računalnikom (Word, Excel, Outlook, Google)Aktivno znanje angleškega ali nemškega jezikaVozniško dovoljenje B kategorijePrednost imajo kandidati iz Žalca, Celja in okolice.Iščemo sodelavca(-ko), ki/je:ima dobre organizacijske sposobnosti,je zanesljiv, natančen in redoljuben,ima pozitiven odnos do dela in reševanja težav,usmerjen k rezultatom,pripravljen nadgraditi svoje znanje in izkušnje,zna prevzemati odgovornost za svoje delo.Nudimo vam:zaposlitev s polnim delovnim časom za določen čas (za čas usposabljanja); v primeru uspešno opravljenega usposabljanja zaposlitev za nedoločen čas,urejeno delovno okolje,delo, ki nudi veliko mero svobode, odgovornosti in samoiniciativnosti.Prijavo pošljite na elektronski naslov: zaposlitev@easytrans.si alipo pošti EASYTRANS D.O.O. Cesta ob železnici 4, 3310  Žalecdo vključno 12.01.2019 s pripisom za katero delovno mesto se prijavljate: ADMINISTRATOR VOZNEGA PARKA."
Administrator za bilance m/ž,https://www.mojedelo.com//administrator-za-bilance-mz/d-412524?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D57,26.12.2018,04:35,06.12.2018,Axent d.o.o.,Koper,m/ž,https://www.mojedelo.com//administrator-za-bilance-mz/d-412524?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D57,"Smo ekipa zagnanih, strokovno podkovanih in vsestranskih oseb. Vsak od nas ima svoje želje in pričakovanja, ki pa se združijo v skupni cilj: Biti tu za vas!  Vodijo nas profesionalnost, srčnost, pozitivna energija in mišljenje, da skupaj zmoremo vse. V največje zadovoljstvo in ponos nam je, ko prisostvujemo poslovnim in osebnim uspehom. Takrat se namreč zavedamo, da smo na pravi poti in da delamo prav. Vedno sledimo najnovejšim smernicam in spoznanjem na področju človeških virov. Z vedno več znanja postajamo vse boljši.  To pomeni, da smo boljši tudi za vas.   Naš naročnik, uspešno podjetje iz področja bančništva in nepremičnin, išče administrativne profile, ki bi zasedli delovno mesto Administrator(ja) za bilance m/ž. Administrator za bilance m/ž Lokacija delovnega mesta: Koper  Opis delovnega mesta: - Preverjanje in razčlenjevanje postavk bilanc,- pridobivanje relevantnih podatkov od strank,- posodabljanje podatkovne baze,- ostale naloge po navodilu nadrejenega. Naročnik pričakuje: - V. stopnja izobrazbe (zaželena ekonomska smer),- brezhibna govorna in pisna Italijanščina,- osnovno znanje računovodstva (bilance),- osnovno poznavanje Excel-a,- računalniška spretnost,- natančnost in doslednost pri delu. Naročnik nudi: - Delo v urejenem kolektivu,- redno in stimulativno plačilo,- urnik 7-15 od ponedeljka do petka (urnik je fleksibilen),- pogodba za nedoločen čas.   Zainteresirane kandidatke in kandidate vabimo, da nam svoje prijave s priloženim življenjepisom pošljejo na elektronski naslov delo@axent.si."
Administrator za italijanski trg m/ž,https://www.mojedelo.com//administrator-za-italijanski-trg-mz/d-405396?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D19,26.12.2018,04:31,20.12.2018,HSG KARIERA,Koper,m/ž,https://www.mojedelo.com//administrator-za-italijanski-trg-mz/d-405396?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D19,"Administrator za italijanski trg m/ž Pridružite se podjetju s 135-letno tradicijo in postanite del dobro vkoreninjene strukture na finančnem trgu.Za več informacij pokličite na telefonsko številko 031 809 911 (Karmen Novak) ali pišite na mail karmen.novak@kariera.si    Opis delovnega mesta Vam jezik teče kot namazan poleg slovenskega tudi v italijanskem jeziku?Imate sposobnost hitrega preklapljanja iz teme na temo?Ste proaktivni in se v vas skriva ravno prava mera empatije in razumevanja?Če je vaš odgovor na vsa tri vprašanja pritrdilen, se prijavite na spodnji oglas in se pridružite podjetju s 135-letno tradicijo :)- podpora strankam,- kontrola in ažuriranje podatkov,- telefonsko pridobivanje podatkov,- prodaja višjega standarda storitev že obstoječim strankam.   Pričakujemo - Odlično znanje italijanskega jezika (tako ustno kot pisno),- logično in fleksibilno razmišljanje,- komunikativnost,- poznavanje osnov Microsoft Office,- pripravljenost na delo v dveh izmenah.   Nudimo - delo v podjetju z dolgoletno tradicijo,- dolgoročno sodelovanje,- možnost osebnega razvoja,- delo v dobrem kolektivu.     Če ustrezate vsem pogojem in bi vas tako delo zanimalo, vas  vabimo, da se prijavite preko portala. Za več informacij pokličite: 031 809 911 ali karmen.novak@kariera.si         Kariera d.o.o.      Dunajska cesta 165      1000 Ljubljana          e: info@kariera.si      t: (01) 300 31 00      www.kariera.si     Novi trg 10      8000 Novo mesto      e: novo.mesto@kariera.si      t: (07) 302 03 00         Ulica Vita Kraigherja 5      2000 Maribor      e: maribor@kariera.si      t: (02) 237 20 20   Vse naše objave: www.kariera.si/prosta-delovna-mesta/ Ali na facebook profilu: www.facebook.com/kariera/"
Administrator za nemški trg m/ž,https://www.mojedelo.com//administrator-za-nemski-trg-mz/d-419032?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D9,26.12.2018,04:30,21.12.2018,HSG KARIERA,Maribor,m/ž,https://www.mojedelo.com//administrator-za-nemski-trg-mz/d-419032?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D9,"Administrator za nemški trg m/ž Za našega naročnika, uspešno in stabilno mednarodno podjetje, iščemo kandidate z dobrim znanjem nemškega jezika, za zaposlitev na delovnemu mestu Administrator za nemški trg m/ž.    Opis delovnega mesta - splošno in celovito preverjanje podjetij v programu (splošni in finančni podatki),- kontrola in ažuriranje podatkov,- pridobivanje dokumentov preko različnih javnih portalov,- priprava poročil in analiz iz pridobljenih podatkov,- komunikacija s sodelavci in nadrejenimi.   Pričakujemo - dobro znanje nemškega jezika,- poznavanje računalniških programov MS Office,- veselje do administrativnega dela s številkami,- dobre komunikacijske sposobnosti,- odgovornost in zanesljivost.   Nudimo - ustreznim kandidatom bomo ponudili sodelovanje za nedoločen čas,- enoizmenski delovni čas, z možnostjo prilagajanja,- možnost napredovanja in dodatnega izobraževanja,- delo v uspešnem mednarodnem podjetju, kjer le-to ne posega v zasebno življenje.     Če ustrezate vsem pogojem in bi vas tako delo zanimalo, vas  vabimo, da se prijavite preko portala. Za več informacij pokličite: 051 378 928         Kariera d.o.o.      Dunajska cesta 165      1000 Ljubljana          e: info@kariera.si      t: (01) 300 31 00      www.kariera.si     Novi trg 10      8000 Novo mesto      e: novo.mesto@kariera.si      t: (07) 302 03 00         Ulica Vita Kraigherja 5      2000 Maribor      e: maribor@kariera.si      t: (02) 237 20 20   Vse naše objave: www.kariera.si/prosta-delovna-mesta/ Ali na facebook profilu: www.facebook.com/kariera/"
Agent v klicnem centru- prodajalec,https://www.mojedelo.com//agent-v-klicnem-centru-prodajalec/d-418690?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D11,26.12.2018,04:31,21.12.2018,CompanyWall d.o.o.,Ljubljana,m/ž,https://www.mojedelo.com//agent-v-klicnem-centru-prodajalec/d-418690?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D11,"Prodaja (2 delovni mesti)    Agent v klicnem centru- prodajalecIščete redno zaposlitev? Si želite biti pri delu uspešni in zato prejeti odlično plačilo? Želite postati del uspešnega in ambicioznega kolektiva?Pridite delat v podjetje, ki vam ponuja priložnosti osebnostnega in kariernega napredovanja.  O nasCompanywall d.o.o.  Je mednarodno podjetje, ki se ukvarja z analizo finančnih podatkov podjetij. Na področju prodaje naših produktov redno zaposlimo dva nova sodelavca. Predhodne izkušnje niso pogoj, saj vas s podporo strokovne ekipe sodelavcev vsega naučimo mi.  Edino kar potrebujete je volja do učenja. Skupaj ustvarjamo odlično delovno okolje zato iščemo sodelavce, ki so pozitivno naravnani, stremijo k boljšemu življenju, večjemu zaslužku in želijo delati v prijetnem delovnem okolju.Išče se oseba, ki jo opredeljujejo lastnosti:Komunikacijske sposobnostiŽelja po učenju in rastiŽelja po boljšem zaslužku, karieri in napredkuSposobnost dela v skupiniPoznavanje osnove računalnika in interneta (MS Office paket)Delovno mesto:Od ponedeljka do petka na sedežu podjetja (Od 8:00h do 16.00h)Začetno delo- prodaja po telefonu, kasneje možnost dela na terenuPodpora izkušenih mentorjevZaposlitev za nedoločen čas (poskusno delo 1 mesec)Redno plačilo + visoka stimulacija (povprečna urna postavka 9€)Če se prepoznate v opisu in si želite postati del uspešnega tima, oddajte prijavo skupaj z življenjepisom in kontaktnim telefonom na: zaposlitev@companywall.si www.companywall.si"
Agent v kontaktnem centru (m/ž),https://www.mojedelo.com//agent-v-kontaktnem-centru-mz/d-417381?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D26,26.12.2018,04:32,18.12.2018,Sberbank banka d.d. ,Ljubljana,m/ž,https://www.mojedelo.com//agent-v-kontaktnem-centru-mz/d-417381?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D26,Informatik specialist
Agent za prodajo letalskih vozovnic (m/ž),https://www.mojedelo.com//agent-za-prodajo-letalskih-vozovnic-mz/d-407360?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D74,26.12.2018,04:37,28.11.2018,ADECCO H.R. d.o.o.,Ljubljana,m/ž,https://www.mojedelo.com//agent-za-prodajo-letalskih-vozovnic-mz/d-407360?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D74,"Adecco H.R., kadrovsko svetovanje d.o.o. je vodilna slovenska agencija za zaposlovanje in je tudi največje tovrstno podjetje na svetu. Iskalcem zaposlitve ponujamo tako začasna dela, kot redno zaposlitev. Smo fleksibilni in znamo prisluhniti individualnim željam in potrebam. Več o nas si preberite na www.adecco.si.    Iščemo kandidate za prosto delovno mesto: Agent za prodajo letalskih vozovnic (m/ž)  O podjetju: Za našega naročnika, največjo svetovalno agencijo za izobraževanje v tujini s 25-letnimi izkušnjami, iščemo novega sodelavca »Agenta za prodajo letalskih vozovnic (m/ž)«.   Opis delovnega mesta: - pošiljanje ponudb za potovanja in spremljanje le-teh v rezervacije,- rezervacija primernih letov za zagotavljanje pravilnih prihodov/odhodov iz in na letališča in urejanje s tem povezanih plačil,- branje, razumevanje in uveljavljenje pogodbenih pravil nakupa v večjih količinah,- izdaja letalskih kart pod pogoji poslovanja in po postopkih letalske družbe in podjetja,- obdelava rezervacij za hotele, najeme avtomobilov (npr. glede vizumov in potnih listov),- priprava računov za stranke in prejemanje plačil,- ostala dela po navodilu.    Pričakujemo: - vsaj 2 leti izkušenj na podobnem delovnem mestu,- izvrstno poznavanje sistemov (Amadeus/Galileo),- diplomo iz ustreznega področja,- odlično znanje angleškega jezika, poznavanje drugih jezikov je prednost,- samostojnost, natančnost in zanesljivost.    Nudimo: - delo v mednarodnem podjetju,- delo v dinamičnem in mlademu podjetju,- usposabljanja in izobraževanja.Kraj dela: Ljubljana.Urnik dela: od pon do petka, 9h-17h.Zainterisirane kandidate vabimo, da oddate svojo prijavo s klikom na gumb: Prijavi se.     Je to pravo delo za vas? Odlično! Vabimo vas, da svojo prijavo, skupaj z življenjepisom, posredujete preko povezave: Prijavi se zdaj."
Analitik izterjave (m/ž),https://www.mojedelo.com//analitik-izterjave-mz/d-418442?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D14,26.12.2018,04:31,20.12.2018,Addiko Bank d.d.,Ljubljana,m/ž,https://www.mojedelo.com//analitik-izterjave-mz/d-418442?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%2Fvse-regije%3Fp%3D14,"Pravni svetovalec          Z namenom nadomeščanja odsotnosti sodelavke iščemo novega sodelavca ali sodelavko v oddelku Izterjave:ANALITIK IZTERJAVE (m/ž)Kraj zaposlitve: Ljubljana Addiko Bank, d.d., je banka, ki nudi finančne produkte in storitve občanom in podjetjem na nov in enostaven način. Težimo k novim vrednotam: osredotočamo se na pomembno, smo učinkoviti in komuniciramo preprosto.Vaše naloge bodo obsegale:izdelavo raznih poročil za  oddelke znotraj področja Upravljanja tveganj z občani sodelovanje z drugimi oddelki in matično družbo pri pripravi končnih poročil, opravljanje drugih del po nalogu nadrejenega in v skladu z notranjimi predpisi.Od vas pričakujemo:poznavanje SQL-anapredno poznavanje programskih orodij MS Office (predvsem Excel ter Access), aktivno znanje angleščine,samoiniciativnost, komunikativnost, natančnost ter sposobnost organizacije deladobro razvite analitične sposobnosti.Kaj ponujamo:zaposlitev za določen čas enega leta, z možnostjo podaljšanja,dinamično delovno okolje,stalno izmenjavo izkušenj in znanj,možnost strokovnega in osebnostnega razvoja.Vam je bil oglas všeč? Mislite, da ste primerni za opisano delovno mesto? Če je odgovor pritrdilen, se prijavite na oglas preko povezave: https://addiko-bank-slo.talentlyft.com/jobs/analitik-izterjave-dqP"
