VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,Firm,PostDate,VacancySite,SourceLink,Content
Administrativno - računovodski delavec (m/ž) v oddelku prevzema blaga v trgovini Celje,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrativno---racunovodski-delavec-mz-v-oddelku-prevzema-blaga-v-trgovini-Celje-87859.php,07.03.2018,04:00,Harvey Norman Trading d.o.o., Objavljeno: 01.03.2018 , Kraj dela: Celje,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrativno---racunovodski-delavec-mz-v-oddelku-prevzema-blaga-v-trgovini-Celje-87859.php,"\nVeč o podjetju\n\n\nHarvey Norman Trading d.o.o.\n\n\n\nOpis delovnega mesta\n\nNaloge in odgovornosti:\n\ndelo referenta za prevzeme blaga\nskrb, da je dokumentacija o sprejemu blaga pravilna glede na stroške količine in proizvode\nkomunikacijo s strankami in dobavitelji\nadministrativna dela\n\n\nPričakujemo\n\nPričakujemo:\n\nVsaj IV. stropnjo izobrazbe\nNatančnost, vestnost, odgovornost, samostojnost\nZmožnost dela v timu\nPoznavanje trgovinskega poslovanja\nZaželeno je znanje vsaj enega tujega jezika\n\n\nPonujamo\n\nPonujamo:\n\nodlično plačilo,\nurejeno in stimulativno delovno okolje\nmožnost osebnega in kariernega razvoja,\npridobivanje novih znanj in delovnih izkušenj\n\nPogodba bo sklenjena za določen čas z možnostjo sklenitve pogodbe za nedoločen čas.\n\n\n\n"
Administrativno - računovodski referent v operativi m/ž,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrativno---racunovodski-referent-v-operativi-87683.php,07.03.2018,04:00,Makro 5 Gradnje d.o.o., Objavljeno: 26.02.2018 , Kraj dela: Ljubljana,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrativno---racunovodski-referent-v-operativi-87683.php,"\nSmo uspešno slovensko gradbeno podjetje, ki se ukvarja z gradnjo visoko kakovostnih objektov najrazličnejših vrst od stanovanjske gradnje, poslovnih in tehnoloških prostorov do turističnih kompleksov.\nSpecializirani smo za novogradnje, rekonstrukcije, projektiranje in svetovanje. V okviru raziskovalne dejavnosti v našem podjetju razvijamo interni standard in tehnologije za energetsko prenovo spomeniško zaščitenih stavb ter sistem vodenja projektov energetske sanacije stavb.\nVeč o podjetju\n\n\nMakro 5 Gradnje d.o.o.\nGlavna dejavnost\nSpecializirani smo za novogradnje, rekonstrukcije, projektiranje in svetovanje.\nPredstavitev podjetja\nSmo uspešno slovensko gradbeno podjetje, ki se ukvarja z gradnjo visoko kakovostnih objektov najrazličnejših vrst od stanovanjske gradnje, poslovnih in tehnoloških prostorov do turističnih kompleksov. Specializirani smo za novogradnje, rekonstrukcije, projektiranje in svetovanje. \nV okviru raziskovalne dejavnosti v našem podjetju razvijamo interni standard in tehnologije za energetsko prenovo spomeniško zaščitenih stavb ter sistem vodenja projektov energetske sanacije stavb.\n\nJamčimo: \n- kakovost našega dela in dela naših podizvajalcev, odlične materiale\n- uporaba najsodobnejših tehnologij \n- odličnost poslovanja\n\nUresničevati želje najzahtevnejših investitorjev in kupcev, ki pričakujejo najvišjo\nkakovost za svoje stanovanjske objekte, poslovne prostore ali hotelske komplekse, pomeni, ponuditi celostni pristop k projektu, s spoštovanjem rokov, predračunov, kakovostno izvedbo ter tesno sodelovanje s partnerji. \n\nNaš cilj je dolgoročno sodelovanje s poslovnimi partnerji. Izpeljemo lahko najbolj obsežne in kompleksne projekte, saj imamo dolgoletne izkušnje s koordiniranjem številnih podizvajalcev in dobaviteljev. \nUsposobljeni smo za realizacijo projektov vezanih na finančno podporo različnih skladov pod okriljem Evropske unije.\nŠtevilo zaposlenih\n50 - 99\nPoslanstvo in vizija\nMakro 5 Gradnje bo do leta 2020 vodilno podjetje za vodenje gradbenih projektov v Sloveniji. \n\n\nPoslovno vizijo uresničujemo z visoko motiviranimi zaposlenimi, ki predstavljajo temelj naše poslovne strategije. \n\nSkrb za zaposlene, dobri odnosi z našimi poslovnimi partnerji in družbeno odgovorno delovanje so pogoji, ki jih izpolnjujemo, da dosegamo kakovostne storitve in zadovoljstvo investitorjev.\n\nGlavne vrednote podjetja Makro 5 gradnje so znanje, kakovost in poštenost. \n\nPosel temelji na upoštevanju najsodobnejših tehnologij na področju gradbeništva in organizacije dela, skrbi za strokovnost projektov, izobraževanju in poslovni odličnosti.\n\nKakovost svojih storitev dokazujemo s certifikatom ISO 9001:2000.\n\n\n\nOpis delovnega mesta\n\nNaloge in odgovornosti:\n Opis del in nalog: \n\n\nadministrativna pomoč vodjem projektov pred/med potekom projektov pri komuniciranju z naročniki in kooperanti,\nskrb za podpis pogodb z naročniki in kooperanti,\norganiziranje in priprava podatkov za izstavitev situacij ter obračuna opravljenih del,\npomoč računovodstvu in vodjem projektov pri izdelavi situacij,\nrazkontacija računov za obračune,\nskrb za korespondenco z glavnim izvajalcem del, investitorjem in podizvajalcem stroritev,\nodprtje in skrb za urejenost fasciklov po projektih,\nzbiranje in urejanje dokumentacije potrebne za tehnični pregled,\narhiviranje vseh dokumentov zaključenih projektov,\nskrb za ažurno in natančno vodeno administracijo na deloviščih. \n\n\n\n \n\nPričakujemo\n\nZahtevana izobrazba:\nV., VI/1., VI/2.\n\n\nZahtevane delovne izkušnje:\n4 - 5 let\n\n\nPričakujemo:\nPogoji za opravljanje dela in nalog ter posebne zahteve: \nFunkcionalna znanja:           \n\npoznavanje materialnega, knjigovodskega in računovodskega dela,\nrazumevanje gradbene stroke ni pogoj je pa zelo zaželeno,\ndelo z računalnikom,\nznanje oziroma razumevanje hrvaškega jezika.\n\nPosebne zahteve:\n\nzanesljivost, samostojno opravljanje dela,\nprevzemanje odgovornosti za svoje področje dela.\n\n\nPonujamo\n\nPonujamo:\n\nzaposlitev za čas projekta od marca 2018 do avgusta 2019 z možnostjo podaljšanja za nedoločen čas,\nzaposlujemo po načelu nediskriminatornosti in enakih možnosti,\ndelo za polni delovni čas.\n\n\n\nOblika zaposlitve ali sodelovanja:\nzaposlitev za določen čas\n\n\nPoskusna doba:\n2 meseca\n\n\nMesečno plačilo:\npo dogovoru \n\n\n\n"
Administrator m/ž,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-86426.php,07.03.2018,04:01,GIBON d.o.o., Objavljeno: 06.02.2018 , Kraj dela: Ljubljana,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-86426.php,"\nSmo spletna trgovina, ki deluje na mednarodni ravni. Trenutno iščemo sodelavca (m/ž) za administrativna dela v podjetju.\nVeč o podjetju\n\n\nGIBON d.o.o.\n\n\n\nOpis delovnega mesta\n\nNaloge in odgovornosti:\nZa delo na dolgi rok zaposlimo hitro, marljivo in delovno osebo za administrativna dela v spletni trgovini. Administrator mora biti sposoben organizacije, multifunkcionalnosti ter biti odličen v časovnem managementu. Administrator samostojno načrtuje, organizira in vodi delovne procese, sodeluje pri pripravi materialov, vodi poslovno korespondenco, nadzoruje stroške in ureja osnovna računovodska dela, pomaga zaposlenim v pisarni, skrbi za pretok informacij ter koordinacijo dela. \n\ncelotna administrativna podpora v podjetju,\nvodenje različnih evidenc in seznamov (pošta, poslovni partnerji, pošiljke,...),\npriprava dokumentacije za oddajo in prevzem pošiljk,\nnabava pisarniškega materiala,\nkontrola,\npopis in reklamacija faktur,\npriprava dokumentacije za knjiženje,\nsodelovanje z računovodskim servisom,\npriprava, izdaja ter obračun potnih nalogov.\n\n\nPričakujemo\n\nZahtevane delovne izkušnje:\n0 - 1 leto\n\n\nPričakujemo:\n\nnajmanj VI. stopnja izpobrazbe,\ndobro poznavanje dela z računalnikom,\nvodstvene in organizacijske sposobnosti,\nkomunikativnost, urejenost, samostojnost.\n\n\nPonujamo\n\nPonujamo:\n\nredno zaposlitev za polni delovni čas,\npestro in dinamično delo.\n\n\n\nOblika zaposlitve ali sodelovanja:\nzaposlitev za določen čas\n\n\nPoskusna doba:\n1 mesec\n\n\nMesečno plačilo:\n900 - 1200 € bruto \n\n\n\n"
Administrator hrbteničnega omrežja (m/ž),https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-hrbtenicnega-omrezja-mz-87745.php,07.03.2018,04:00,Telemach d.o.o., Objavljeno: 27.02.2018 , Kraj dela: Ljubljanska regija,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-hrbtenicnega-omrezja-mz-87745.php,"\nPodjetje Telemach je vodilni alternativni telekomunikacijski operater v Sloveniji in tretji največji ter najhitreje rastoči mobilni operater v Sloveniji.\nK sodelovanju vabimo nove sodelavce s tehničinih področji za delovno mesto ADMINISTRATOR HRBTENIČNEGA OMREŽJA m/ž \n \nVeč o podjetju\n\n\nTelemach d.o.o.\nGlavna dejavnost\nPodjetje Telemach je vodilni slovenski kabelski ponudnik televizijskih storitev, telefonije in širokopasovnega dostopa do interneta. Telemach se osredotoča na zagotavljanje naprednih, kakovostnih in uporabnikom prijaznih storitev, ki strankam približajo digitalni svet ter ga naredijo udobnega in preprosto dostopnega. Z obsežnim omrežjem, ki temelji na kombinaciji optičnih in koaksialnih povezav, ter stalnimi naložbami v tehnološke inovacije Telemach zagotavlja visoko raven storitev najširšemu krogu slovenskih domačih in poslovnih uporabnikov. Podjetje je v lasti skupine Mid Europa Partners, naložbene skupine, osredotočene na področje Srednje Evrope. Več informacij o Telemachu je na voljo na naslovu www.telemach.si.\nPredstavitev podjetja\nTelekomunikacijska panoga tudi Telemachu narekuje hiter tempo sprememb, saj nove vsebine z nezadržno hitrostjo pritiskajo na razvoj novih omrežij in tehnologij prenosa informacij novodobnih komunikacij. Vse od nastanka kabelskih sistemov do nastanka Telemacha, ki je prevzel vlogo alternative Telekomovi bakreni parici in konsolidatorja kabelskih sistemov v Sloveniji, je bil koaksialni kabel glavna tehnologija za zagotavljanje storitev televizije. S pojavom dvosmerne komunikacije (80 odstotkov Telemachovega omrežja je zgrajenega iz optičnih vlaken) je bil Telemach med prvimi ponudniki širokopasovnega interneta in kasneje tudi digitalne telefonije. Zmeren in ekonomsko opravičljiv razvoj kabelskega omrežja skupine Telemach, ki združuje kabelske sisteme po vsej Sloveniji, temelji na prihajajoči informacijski tehnologiji, imenovani EuroDocsis 3.0, ki v slovenske domove prinaša digitalno televizijo z vrhunskim digitalnim snemalnikom, programe v visoki ločljivosti, širokopasovni internet s hitrostjo 120 Mbps in digitalno telefonijo z ugodnimi klici v slovenska in tuja omrežja.\n\n\n\nOpis delovnega mesta\n\nNaloge in odgovornosti:\n\nNačrtovanje, postavitev ter obratovanje sistemske strojne in programske opreme IP/MPLS omrežja;\nSodelovanje pri izvedbi projektov;\nNačrtovanje, dokumentiranje omrežja in postavitev;\nNadzor delovanja omrežja;\nSamostojno reševanje delovnih izzivov in sodelovanje z drugimi oddelki;\nin druga dela v okviru delovnega mesta po navodilih delodajalca. \n\n\nPričakujemo\n\nPričakujemo:\n\nDobro poznavanje IP protokolov;\nPoznavanje protokolov za usmerjanje IP prometa;\nPoznavanje Linux/Unix operacijskih sistemov;\nPoznavanje delovanja opreme in namestitev v omrežju, sposobnost izdelovanja načrtov in dokumentacije;\nZnanje tehnične angleščine;\nTimsko naravnanost.\n\nIzobrazba: VI. stopnja - naravoslovna, druga ustrezna \n\nPonujamo\n\nPonujamo:\n\nStimulativno delovno okolje;\nVeliko profesionalnih izzivov in priložnost za strokovni razvoj;\nDelo na sodobnem IP/MPLS omrežju kot član ekipe strokovnjakov;\n\nPoskusna delovna doba: DA\n\n\n\n"
Administrator letalske dokumentacije m/ž,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-letalske-dokumentacije-86525.php,07.03.2018,04:01,Aeroservice d.o.o., Objavljeno: 07.02.2018 , Kraj dela: Lesce,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-letalske-dokumentacije-86525.php,"\nAeroservice d.o.o. smo sodobno opremljen letalski servis s tehnologijo in znanjem zagotoviti popolno oskrbo letal ter vodenje stalne plovnosti (EASA PART 145 in PART M). Vzdržujemo enomotorna ter dvomotorna letala kovinske ali kompozitne konstrukcije.\nSmo uradni zastopniki za Cessna Aircraft Co., Technify/Continental diesel, Diamond aircrafts, Garmin, Genesys ter Aspen Avionics. Aeroservice d.o.o. se nahaja na Letališču Lesce (LJBL). Naše podjetje zastopa tudi sledeče svetovno znane proizvajalce:\n\nletala: Cessna, Diamond, Tecnam\nmotorji: Continental Diesel\nletalska oprema: Garmin, Aspen Avionics, Genesys (S-TEC autopilot)\n\nVeč o podjetju\n\n\nAeroservice d.o.o.\n\n\n\nOpis delovnega mesta\n\nNaloge in odgovornosti:\nZaposlimo administratorja (m/ž) za urejanje letalske in računovodske dokumentacije.\n\nPričakujemo\n\nPričakujemo:\n\nzaželeno je razumevanje in poznavanje tehničnih standardov\nobvezno je znanje angleškega jezika\nlasten prevoz\n\n\nPonujamo\n\nPonujamo:\n\nredna zaposlitev s poskusno dobo 3 mesece\ndelo v prijetnem kolektivu in urejenem okolju\nredno plačilo\n\n\n\n\n"
Administrator v kadrovski službi m/ž,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-v-kadrovski-sluzbi-87957.php,07.03.2018,04:00,Stele trans d.o.o., Objavljeno: 05.03.2018 , Kraj dela: Cerklje na Gorenjskem,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-v-kadrovski-sluzbi-87957.php,"\nPodjetje Stele transport d.o.o. je na trgu prisotno že več kot 17 let. Ukvarjamo se s prevozi v domačem in mednarodnem tovornem prometu.\nPodjetje vabi Administratorja v kadrovski službi (m/ž), da se s svojimi izkušnjami in ustvarjalno energijo pridruži mlademu in dinamičnemu kolektivu!\nVeč o podjetju\n\n\nStele trans d.o.o.\n\n\n\nOpis delovnega mesta\n\nNaloge in odgovornosti:\n\ndelo administratorja v kadrovski službi\n\n\nPričakujemo\n\nPričakujemo:\nZnanja:\n\nvsaj srednješolska izobrazba ekonomske smeri\naktivno znanje angleškega jezika (nujno)\naktivno znanje srbohrvaškega jezika (nujno)\nnemški jezik (ni nujno, predstavlja pa prednost pri izbiri kandidatov)\nuporaba računalnika (MS Windows, Office)\nuporaba interneta in e-pošte\n\nVeščine:\n\nvodenje in organizacija različnih evidenc\nzaželene izkušnje v administraciji v cestnem transportu, npr.: obračun dnevnic, obračun potnih stroškov, izdaja faktur strankam, pregled nad dokumenti zaposlitev šoferjev in delovnimi dovoljenji (prednost)\npoznavanje administrativnega postopka zaposlovanja novega sodelavca (prednost)\n\nOsebnostne lastnosti:\n\nvisoka osebna organiziranost pri delu\ntimska naravnanost\nkomunikativnost z različnimi deležniki (sodelavci v pisarni, vozniki, stranke)\nnatančnost in doslednost\nodgovornost\n\n\nPonujamo\n\nPonujamo:\n\ndelo s poskusnim delovnim obdobjem 3 mesece\nmožnost zaposlitve za nedoločen čas\nurejen delovnik (enoizmenski, dopoldanski)\nprijeten, mladosten in dinamičen kolektiv\nkonkurenčna neto plača plus dodatki\nstrokovna uposabljanja\nredna izobraževanja s področja komunikacijskih veščin in osebnostne rasti\n\n\n\n\n"
Administrator za nemški trg m/ž,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-za-nemski-trg-mz-87458.php,07.03.2018,04:00,Kariera d.o.o., Objavljeno: 21.02.2018 , Kraj dela: Maribor,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-za-nemski-trg-mz-87458.php,"\n \nVeč o podjetju\n\n\nKariera d.o.o.\nGlavna dejavnost\nV Karieri že od samega začetka v letu 2005 verjamemo v konstanten razvoj ter izboljšave, na kar nenazadnje kaže tudi stalna rast prihodkov ter poslovanja v zadnjih 6 letih.\n\nČe iščete pravo osebo ali pravo delovno mesto, se najprej posvetujte s Karierinim strokovnjakom.\n\nSodelovanje s Kariero vam omogoča dostop do najrazličnejših informacij s področja trga dela in zaposlitvenih priložnosti, saj smo eno od najbolj uspešnih slovenskih kadrovskih podjetij. Zaposleni v podjetju smo namreč specializirani in usmerjeni vsak v svoje strokovno področje trga dela. Zaradi objektivnega in celostnega pogleda, ki nam ga naše delo omogoča, zelo dobro (pre)poznamo vloge, ljudi, priložnosti in talente.\n\nKarierin strokovnjak tako točno ve, kakšne so zahteve na delovnem mestu in kakšne so želje podjetja. Po drugi strani pa ves čas vzpostavljamo in vzdržujemo stike s široko mrežo nadarjenih ljudi s posameznih področij. Kombinacija poznavanja zahtev in želja podjetij ter znanj in sposobnosti ljudi je pri kadrovanju zmagovalna.\nLeto ustanovitve\n2005\nPredstavitev podjetja\nKaj nas dela drugačne?\n\nStrokovnjaki prepoznavamo strokovnjake\nNaše metode dela in tehnike ocenjevanja nam omogočajo, da prepoznamo strokovnjaka za katero koli področje. Zaradi naših lokalnih in globalnih znanj vam lahko pomagamo zadovoljiti vaše individualne kadrovske potrebe, bodisi da gre za kratkoročno delo, dolgoročno sodelovanje ali contracting.\n\nProjektne rešitve\nPoiskati znamo usposobljen kader, ki bo vpet v vaš delovni proces neposredno ali na daljavo, da bo vaš zaposlitveni team lahko svež in aktiven, vaš delovni proces pa nemoten. Vsaka rešitev je prilagojena vašim potrebam, saj z našimi metodami, postopki ravnanja, spremljanjem in analiziranjem kadra v delovnem procesu stremimo k napredku in izboljšavam.\n\n\n\nOpis delovnega mesta\n\nNaloge in odgovornosti:\nVam številke ležijo in vas ponoči ne strašijo?Vam obdelava podatkov ni tuja, znanje nemškega jezika pa nuja?Potem spodnji oglas preberite in se v uspešnem mednarodnem podjetju zaposlite\n\nPričakujemo\n\nPričakujemo:\n\ndobro znanje nemškega jezika,\npoznavanje računalniških programov MS Office,\nveselje do administrativnega dela s številkami,\ndobre komunikacijske sposobnosti,\nodgovornost in zanesljivost.\n\n\nPonujamo\n\nPonujamo:\n\nustreznim kandidatom bomo ponudili sodelovanje za nedoločen čas,\nenoizmenski delovni čas, z možnostjo prilagajanja,\nmožnost napredovanja in dodatnega izobraževanja,\ndelo v uspešnem mednarodnem podjetju, kjer le-to ne posega v zasebno življenje.\n\n\n\n\n"
Agent v kontaktnem centru (m/ž),https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Agent-v-kontaktnem-centru-mz-87680.php,07.03.2018,04:00,DEKRA zaposlitev d.o.o., Objavljeno: 26.02.2018 , Kraj dela: Ljubljana,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Agent-v-kontaktnem-centru-mz-87680.php,"\nDEKRA ZAPOSLITEV d.o.o. je agencija za posredovanje pri zaposlovanju, raziskovanje tržišča in javnega mnenja ter nudenje intelektualnih storitev.\nUstanovljena je bila leta 2014 v Ljubljani s strani podjetja DEKRA Arbeit GmbH iz Stuttgarta kot del velike mednarodne družbe DEKRA SE, ki zaposluje 39.000 ljudi v več kot 50-ih državah po vsem svetu.\nZa našega naročnika, podjetje Telemach d.o.o., ki je vodilni kabelski operater in najhitreje rastoči mobilni operater v Sloveniji, iščemo:\nAgent v kontaktnem centru (m/ž) \nKraj dela: Ljubljana\nVeč o podjetju\n\n\nDEKRA zaposlitev d.o.o.\nPredstavitev podjetja\nwww.dekra-zapo.si\n\n\n\nOpis delovnega mesta\n\nNaloge in odgovornosti:\n\nskrb za zadovoljstvo ter zagotavljanje ustrezne podpore naročnikom,\nopravljanje tehnično-administrativnih del,\nizvajanje prodajnih procesov,\npodaljševanje obstoječih naročniških razmerij,\ntelefonska prodaja dodatnih storitev ter nadgradnja obstoječih paketov.\n\n\nPričakujemo\n\nPričakujemo:\n\nvsaj V. stopnja izobrazbe,\nračunalniško pismenost (MS Office, Outlook, internet),\ndobre sposobnosti govornega komuniciranja,\nsamoiniciativnost, odgovornost, zanesljivost in natančnost pri delu,\nvestnost, dinamičnost in iznajdljivost,\ntimsko naravnanost,\nposluh za delo z ljudmi,\nmočno voljo po učenju in spoznavanju mobilnih komunikacij,\nosnovno poznavanje strojne opreme računalnika (modemi, usmerjevalniki in omrežne kartice),\npoznavanje interneta in njegovih tehnologij,\nosnovno znanje angleškega jezika,\nvisoko motiviranost, pripadnost ekipi in ciljem ter planom enote, družbe.\n\n\nPonujamo\n\nPonujamo:\n\nzaposlitev za določen čas z možnostjo dolgoročnega sodelovanja,\nstimulativno, dinamično delovno okolje v mladem kolektivu,\ntemeljito uvajanje v delo,\nnova znanja in izkušnje,\nstimulativno nagrajevanje.\n\n\n\n\n"
Analitik IS  za logistiko in proizvodnjo - začetnik (m/ž),https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Analitik-IS--za-logistiko-in-proizvodnjo---zacetnik-mz-86688.php,07.03.2018,04:01,Goinfo d.o.o. Nova Gorica, Objavljeno: 09.02.2018 , Kraj dela: Nova Gorica in teren Slovenija,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Analitik-IS--za-logistiko-in-proizvodnjo---zacetnik-mz-86688.php,"\nGOinfo d.o.o iz Nove Gorice že 25 let razvija informacijske sisteme za proizvodna podjetja. Zaradi velikega povpraševanja in rasti, vabi k sodelovanju mlade, ambiciozne kadre za uvajanje informacijskega sistema GoSoft in podporo uporabnikom.\nVeč o podjetju\n\n\nGoinfo d.o.o. Nova Gorica\n\n"
Analitik v marketingu (m/ž) - Naklo pri Kranju,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Analitik-v-marketingu-mz---Naklo-pri-Kranju-88066.php,07.03.2018,04:00,"Intersport ISI, d.o.o.", Objavljeno: 05.03.2018 , Kraj dela: Naklo pri Kranju,https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Analitik-v-marketingu-mz---Naklo-pri-Kranju-88066.php,"\nINTERSPORT ISI, d.o.o. je v zadnjem desetletju zrasel v največje podjetje za prodajo športne opreme, obutve in oblačil v regiji in je del globalne verige prodajaln s športno opremo INTERSPORT. V Sloveniji športnim navdušencem omogočamo nakup najnovejše športne opreme na 38 prodajnih mestih in v spletnem okolju.\nMed sodelavce vabimo analitika v marketingu  \nDelo je kot nalašč za osebo, ki je „doma” v marketinško-digitalnem okolju in obdelavi podatkov, za osebo, ki je natančna, analitično usmerjena in vešča uporabe digitalnih orodij ter povezovanja podatkov v večkanalnem okolju.\nVeč o podjetju\n\n\nIntersport ISI, d.o.o.\nGlavna dejavnost\nTrgovina na drobno v specializiranih prodajalnah s športno opremo.\nLeto ustanovitve\n2009\nŠtevilo zaposlenih\n250 - 500\n\n\n\nOpis delovnega mesta\n\nNaloge in odgovornosti:\n\nspremljanje in analiziranje marketinških kampanj, analiza akcijskih letakov, spletne trgovine, socialnih omrežjih in primerjava učinkovitosti marketinških aktivnosti v večkanalnem okolju\npriprava rednih ali posebnih poročil v Excelu in z analitičnimi orodji (Google Analytics, Google Tag Manager, Facebook Analytics) ter priprava predlogov/priporočil za prihodnje\nuporaba digitalnih aplikacij in orodij s poudarkom na Google Analytics, Google Adwords\naktivno spremljanje novosti v marketinško-digitalnem okolju\n\n\nPričakujemo\n\nPričakujemo:\n\ndokončano najmanj VI. stopnjo izobrazbe ekonomske, računalniške, matematične, družboslovne ali druge relevantne smeri\nnajmanj dve leti delovnih izkušenj na področju marketinške analitike oz. obdelave podatkov\npoznavanje in izkušnje z uporabo analitičnih orodij (Google Analytics)\nizkušeni uporabnik Excela\npoznavanje angleškega jezika\npoznavanje marketinga, vključno z digitalnim marketingom\nkomunikativnost in samoiniciativnost, timsko delo, odgovornost in zanesljivost\n\n\nPonujamo\n\nPonujamo:\n\nrazgibano in dinamično delo\nzaposlitev s polnim delovnim časom\nzaposlitev za nedoločen čas s 6-mesečnim poskusnim delom\nurejene delovne pogoje\nizobraževanje in usposabljanje\n\n\n\n\n"
