Delovno_mesto_link	Delovno_mesto	Podjetje	Datum_objave	Kraj_dela	REQUEST_URL	RESPONSE_URL	REPONSE_DATE	RESPONSE_TIME	datum_strganja	res	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Cistilec---mesnopredelovalna-industrija-mz-67436.php	Čistilec - mesnopredelovalna industrija (m/ž)	ISS Facility Services d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Celje					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Cistilec---mesnopredelovalna-industrija-mz-67436.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-skupine-67445.php	Vodja skupine m/ž	ISS Facility Services d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Celje					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-skupine-67445.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-67464.php	Prodajalec m/ž	HERVIS d.o.o.	Objavljeno: 03.02.2017	Kraj dela: HERVIS Interspar Jesenice					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-67464.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Samostojni-strokovni-sodelavca-za-nabavo-mz-projektnaserijska-nabava-67467.php	Samostojni strokovni sodelavca za nabavo m/ž (projektna/serijska nabava)	odelo Slovenija d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Prebold					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Samostojni-strokovni-sodelavca-za-nabavo-mz-projektnaserijska-nabava-67467.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Tehnolog--nastavljalec-strojev-za-brizganje-plastike---Cresnjevci-pri-Gornji-Radgoni-mz-67465.php	Tehnolog / nastavljalec strojev za brizganje plastike - Črešnjevci pri Gornji Radgoni (m/ž)	odelo Slovenija d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Črešnjevci pri Gornji Radgoni					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Tehnolog--nastavljalec-strojev-za-brizganje-plastike---Cresnjevci-pri-Gornji-Radgoni-mz-67465.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Proizvodni-delavec-mz-v-Celju-67473.php	Proizvodni delavec (m/ž) v Celju	Powerserv d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Celje					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Proizvodni-delavec-mz-v-Celju-67473.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Strojnik-transportne-mehanizacije-mz-v-Posavju-67472.php	Strojnik transportne mehanizacije (m/ž) v Posavju	Kariera d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Posavje					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Strojnik-transportne-mehanizacije-mz-v-Posavju-67472.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delo-v-proizvodnji-67458.php	Delo v proizvodnji m/ž	Delos zaposlovanje d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Ljubljana					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delo-v-proizvodnji-67458.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vojakvojakinja-Slovenske-vojske-mz-67385.php	Vojak/vojakinja Slovenske vojske (m/ž)	"Ministrstvo za obrambo, Generalštab Slovenske vojske"	Objavljeno: 03.02.2017	Kraj dela: Vojašnice Slovenske vojske					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vojakvojakinja-Slovenske-vojske-mz-67385.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Zavarovalni-zastopnik-67466.php	Zavarovalni zastopnik m/ž	Adriatic Slovenica d.d.	Objavljeno: 03.02.2017	Kraj dela: področje Pomurja					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Zavarovalni-zastopnik-67466.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Komercialist-za-prodajo-gradbene-mehanizacije-mz-67426.php	Komercialist za prodajo gradbene mehanizacije (m/ž)	"Kadrovski inženiring, KI d.o.o."	Objavljeno: 03.02.2017	Kraj dela: Ljubljana in teren					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Komercialist-za-prodajo-gradbene-mehanizacije-mz-67426.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-Ljubljani---vec-mest-67437.php	Prodajalec (m/ž) v Ljubljani - več mest	"Mercator, d.d."	Objavljeno: 03.02.2017	Kraj dela: Ljubljana					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-Ljubljani---vec-mest-67437.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Monter-67447.php	Monter m/ž	VIPOLL d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Terensko delo in delo na sedežu podjetja					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Monter-67447.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/CNC-operater-67446.php	CNC operater m/ž	VIPOLL d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Bučečovci (Ljutomer)					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/CNC-operater-67446.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Operativec-Ljubljana-mz-67432.php	Operativec (Ljubljana) m/ž	GoOpti d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Ljubljani (blizu BTC)					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Operativec-Ljubljana-mz-67432.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajni-zastopnik-67471.php	Prodajni zastopnik m/ž	PROAKTIV PLUS d.o.o.	Objavljeno: 03.02.2017	Kraj dela: celotna Slovenija					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajni-zastopnik-67471.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec---svetovalec-67469.php	Prodajalec - svetovalec m/ž	PROAKTIV PLUS d.o.o.	Objavljeno: 03.02.2017	Kraj dela: celotna Slovenija					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec---svetovalec-67469.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajnik-67431.php	Prodajnik m/ž	LUMENIA d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Litija					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajnik-67431.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Nepremicninski-posrednik--Vodja-prodaje-nepremicnin-mz---vec-mest-67438.php	Nepremičninski posrednik / Vodja prodaje nepremičnin (m/ž) - več mest	PRVA HIŠA d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Ljubljana					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Nepremicninski-posrednik--Vodja-prodaje-nepremicnin-mz---vec-mest-67438.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Projektni-vodja-v-razvoju-nepremicninskih-projektov-mz-67439.php	Projektni vodja v razvoju nepremičninskih projektov (m/ž)	PRVA HIŠA d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Ljubljana					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Projektni-vodja-v-razvoju-nepremicninskih-projektov-mz-67439.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-Gorenji-vasi-67435.php	Prodajalec (m/ž) v Gorenji vasi	"Mercator, d.d."	Objavljeno: 03.02.2017	Kraj dela: Gorenja vas					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-Gorenji-vasi-67435.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Referent-prodaje-nabave-in-skladiscenja-blaga-67448.php	"Referent prodaje, nabave in skladiščenja blaga m/ž"	Gradbeni servis Lorenčič d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Maribor-Hoče					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Referent-prodaje-nabave-in-skladiscenja-blaga-67448.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Razrez-in-sestava-v-neserijski-proizvodnji-67463.php	Razrez in sestava v neserijski proizvodnji m/ž	Roltek d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Dob pri Domžalah					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Razrez-in-sestava-v-neserijski-proizvodnji-67463.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Monter--komercialist-na-terenu-67462.php	Monter / komercialist na terenu m/ž	Roltek d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Dob pri Domžalah					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Monter--komercialist-na-terenu-67462.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delavec-v-proizvodnji-67461.php	Delavec v proizvodnji m/ž	Roltek d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Dob pri Domžalah					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delavec-v-proizvodnji-67461.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-67459.php	Administrator m/ž	"Agencija M servis, kadrovske storitve, d.o.o."	Objavljeno: 03.02.2017	Kraj dela: okolica Žalca					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-67459.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Skladiscnik-67451.php	Skladiščnik m/ž	Kariera d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Šenčur pri Kranju					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Skladiscnik-67451.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delavec-v-proizvodnji-tehnicna-smer-67457.php	Delavec v proizvodnji (tehnična smer) m/ž	Kariera d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Ljubljana					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delavec-v-proizvodnji-tehnicna-smer-67457.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Mehanik-za-delo-v-proizvodnji-67455.php	Mehanik za delo v proizvodnji m/ž	Kariera d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Prevalje					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Mehanik-za-delo-v-proizvodnji-67455.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Operater-v-proizvodnji-zivil-mz---2-mesti-67380.php	Operater v proizvodnji živil (m/ž) - 2 mesti	Tina d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Komenda					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Operater-v-proizvodnji-zivil-mz---2-mesti-67380.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Strezba-mz---studentsko-delo-67456.php	Strežba (m/ž) - študentsko delo	"Agencija M servis, kadrovske storitve, d.o.o."	Objavljeno: 03.02.2017	Kraj dela: Kranj					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Strezba-mz---studentsko-delo-67456.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delo-v-kavarni-mz---studentsko-delo-67454.php	Delo v kavarni (m/ž) - študentsko delo	"Agencija M servis, kadrovske storitve, d.o.o."	Objavljeno: 03.02.2017	Kraj dela: Kranj					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delo-v-kavarni-mz---studentsko-delo-67454.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Hostesa-mz-vec-oseb---studentsko-delo-67450.php	"Hostesa (m/ž), več oseb - študentsko delo"	"Agencija M servis, kadrovske storitve, d.o.o."	Objavljeno: 03.02.2017	Kraj dela: Kranj					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Hostesa-mz-vec-oseb---studentsko-delo-67450.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delo-v-kuhinji-mz---studentsko-delo-67449.php	Delo v kuhinji (m/ž) - študentsko delo	"Agencija M servis, kadrovske storitve, d.o.o."	Objavljeno: 03.02.2017	Kraj dela: Kranj					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delo-v-kuhinji-mz---studentsko-delo-67449.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Diplomirana-medicinska-sestra---delo-v-Nemciji-67428.php	Diplomirana medicinska sestra - delo v Nemčiji m/ž	GLOB d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Nemčija					6.2.2017 7:32:46	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Diplomirana-medicinska-sestra---delo-v-Nemciji-67428.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Medicinska-sestra--zdravstveni-tehnik-67427.php	Medicinska sestra / zdravstveni tehnik m/ž	GLOB d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Nemčija	http://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&o=50_action=submit&adsPerPage=50&_action=submit#jobsAds	https://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&o=50_action=submit&adsPerPage=50&_action=submit	02.06.2017	08:32:53	6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Medicinska-sestra--zdravstveni-tehnik-67427.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Elektro-inzenir---sibki-tok-mz-67443.php	Elektro inženir - šibki tok (m/ž)	Naton d.o.o.	Objavljeno: 03.02.2017	"Kraj dela: Ljubljana, teren - Evropska Unija"					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Elektro-inzenir---sibki-tok-mz-67443.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Elektro-inzenir---jaki-tok-mz-67442.php	Elektro inženir - jaki tok (m/ž)	Naton d.o.o.	Objavljeno: 03.02.2017	"Kraj dela: Ljubljana, teren - Evropska Unija"					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Elektro-inzenir---jaki-tok-mz-67442.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Strojni-inzenir-67441.php	Strojni inženir m/ž	Naton d.o.o.	Objavljeno: 03.02.2017	"Kraj dela: Ljubljana, teren - Evropska Unija"					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Strojni-inzenir-67441.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Inzenir-informatike-67440.php	Inženir informatike m/ž	Naton d.o.o.	Objavljeno: 03.02.2017	"Kraj dela: Ljubljana, teren - Evropska Unija"					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Inzenir-informatike-67440.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delavec-v-proizvodnji---tiskarske-operacije-67417.php	Delavec v proizvodnji - tiskarske operacije m/ž	INTEC TIV d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Kranj					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delavec-v-proizvodnji---tiskarske-operacije-67417.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Strokovnjak-za-marketing-67409.php	Strokovnjak za marketing m/ž	Kadroom d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Okolica Ljubljane					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Strokovnjak-za-marketing-67409.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/CNC-operater-67434.php	CNC operater m/ž	MANPOWER d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Ljubljana					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/CNC-operater-67434.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delo-v-proizvodnji-67433.php	Delo v proizvodnji m/ž	MANPOWER d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Ljubljana					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delo-v-proizvodnji-67433.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Strokovni-sodelavec-v-razvoju-67424.php	Strokovni sodelavec v razvoju m/ž	"5R Duravar, d.o.o."	Objavljeno: 03.02.2017	Kraj dela: Slovenska Bistrica					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Strokovni-sodelavec-v-razvoju-67424.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Skladiscnik-67430.php	Skladiščnik m/ž	Naton d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Šenčur pri Kranju					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Skladiscnik-67430.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delavec-v-proizvodnji-67416.php	Delavec v proizvodnji m/ž	Šumer d.o.o.	Objavljeno: 03.02.2017	Kraj dela: Celje					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delavec-v-proizvodnji-67416.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-TPC-Prevalje-za-oddelke-gradbeni-program-zeleni-vse-za-vrt-orodje-elektro-kopalnice-lesni-program-67425.php	"Prodajalec (m/ž) v TPC Prevalje za oddelke: gradbeni program, zeleni (vse za vrt), orodje, elektro, kopalnice, lesni program"	"INPOS, d.o.o., Celje"	Objavljeno: 03.02.2017	Kraj dela: Prevalje					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-TPC-Prevalje-za-oddelke-gradbeni-program-zeleni-vse-za-vrt-orodje-elektro-kopalnice-lesni-program-67425.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Obdelovalec-kovin-mz---vec-oseb-67398.php	Obdelovalec kovin (m/ž) - več oseb	Unior d.d.	Objavljeno: 03.02.2017	Kraj dela: Zreče					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Obdelovalec-kovin-mz---vec-oseb-67398.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pomozni-kovac-mz---vec-oseb-67395.php	Pomožni kovač (m/ž) - več oseb	Unior d.d.	Objavljeno: 03.02.2017	Kraj dela: Zreče					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pomozni-kovac-mz---vec-oseb-67395.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Svetovalec--Mentor-za-osebna-zavarovanja-67413.php	Svetovalec – Mentor za osebna zavarovanja m/ž	Zavarovalno zastopanje I.Q. d.o.o.	Objavljeno: 02.02.2017	Kraj dela: Regija bivanja					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Svetovalec--Mentor-za-osebna-zavarovanja-67413.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Logistik-mz-v-okolici-Trebnjega-67415.php	Logistik (m/ž) v okolici Trebnjega	Kariera d.o.o.	Objavljeno: 02.02.2017	Kraj dela: Okolici Trebnjega					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Logistik-mz-v-okolici-Trebnjega-67415.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delavec-za-delo-v-proizvodnji-mz---vec-mest-67396.php	Delavec za delo v proizvodnji (m/ž) - več mest	Livar d.d.	Objavljeno: 02.02.2017	Kraj dela: Ivančna Gorica					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delavec-za-delo-v-proizvodnji-mz---vec-mest-67396.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-prometa-in-organizacije-prevozov-67414.php	Vodja prometa in organizacije prevozov m/ž	Trenkwalder kadrovske storitve d.o.o.	Objavljeno: 02.02.2017	Kraj dela: Škofja Loka					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-prometa-in-organizacije-prevozov-67414.php	
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Konstrukter-67401.php	Konstrukter m/ž	Kadroom d.o.o.	Objavljeno: 02.02.2017	Kraj dela: Zasavje					6.2.2017 7:32:53	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Konstrukter-67401.php	
